Coefficients	Col
536	Intercept
-0	c_0
0	c_1
0	c_2
207	c_3
557	c_4
2760	c_5
2986	c_6
-0	c_0-c_0
0	c_0-c_1
0	c_0-c_2
0	c_0-c_3
0	c_0-c_4
-0	c_0-c_5
-0	c_0-c_6
0	c_1-c_1
0	c_1-c_2
0	c_1-c_3
0	c_1-c_4
0	c_1-c_5
0	c_1-c_6
0	c_2-c_2
491	c_2-c_3
0	c_2-c_4
0	c_2-c_5
0	c_2-c_6
245	c_3-c_3
0	c_3-c_4
0	c_3-c_5
0	c_3-c_6
0	c_4-c_4
-0	c_4-c_5
0	c_4-c_6
0	c_5-c_5
0	c_5-c_6
0	c_6-c_6
