	Pressure	Loading	P_rel	BETy	BET_y2	phi
0	1.0	0.8405165792	1e-05	1.18975642461664e-05	0.8405081740342081	-6.999407042537805
1	5.0	0.8569143274	5e-05	5.835180779007507e-05	0.8568714816836299	-6.138395079161189
2	10.0	0.877571175	0.0001	0.000113962267505083	0.8774834178825001	-5.846383535677127
3	20.0	0.9199421724	0.0002	0.00021744845926535147	0.91975818396552	-5.667431758266294
4	30.0	0.9637902317	0.0003	0.00031136446203525306	0.96350109463049	-5.654903226237763
5	40.0	1.0082090411	0.0004	0.0003969018801785572	1.00780575748356	-5.705730519698837
6	50.0	1.054743685	0.0005	0.0004742859636675911	1.0542163131575002	-5.798843204881156
7	60.0	1.1042575664	0.0006	0.0005436777020119658	1.10359501186016	-5.925438483486579
8	70.0	1.1530175	0.0007	0.000607527937121742	1.15221038775	-6.0585225440299775
9	80.0	1.2046590655	0.0008	0.0006646200035672484	1.2036953382475999	-6.213520004951628
10	90.0	1.2574564819	0.0009	0.0007163752723239996	1.25632477106629	-6.37871570478501
11	100.0	1.3154816739	0.001	0.0007609387655195073	1.3141661922260999	-6.572809094180265
12	150.0	1.6359469364	0.0015	0.0009182775716282731	1.6334930159954002	-7.694224111719664
13	200.0	2.0479108989	0.002	0.0009785621127894198	2.0438150771022	-9.205641898563155
14	250.0	2.6437451153	0.0025	0.0009479982202732133	2.63713575251175	-11.457288498756133
15	300.0	3.7880377656	0.003	0.0007943498104927476	3.7766736523032	-15.916795613381398
16	350.0	11.1841647354	0.0035	0.00031404160334588875	11.1450201588261	-45.74723465707858
17	400.0	13.0713597105	0.004	0.00030724150707918147	13.019074271657999	-52.20403130501045
18	450.0	13.965469148099999	0.0045	0.0003236798913791675	13.90262453693355	-54.585118187572974
19	500.0	14.781274052999999	0.005	0.00033996566264332315	14.707367682734999	-56.647286423802186
20	550.0	15.642734946	0.0055	0.0003535454199163145	15.556699903797	-58.87031846040141
21	600.0	16.413575323299998	0.006	0.00036775761434830023	16.315093871360197	-60.73830183009255
22	650.0	17.042478438499998	0.0065	0.00038389524418944556	16.93170232864975	-62.078855710168746
23	700.0	17.6533711085	0.007	0.0003993200717641549	17.5297975107405	-63.35780583998643
24	750.0	18.122318234	0.0075	0.0004169816998795945	17.986400847245	-64.13648098523355
25	800.0	18.5277235729	0.008	0.0004352675112677095	18.3795017843168	-64.70633734187915
26	850.0	18.8773687612	0.0085	0.00045413476307322253	18.7169111267298	-65.09965114173322
27	900.0	19.197508876500002	0.009	0.00047306844231765786	19.024731296611503	-65.409975819219
28	950.0	19.4646875669	0.0095	0.000492744389819674	19.27977303501445	-65.55908916618085
29	1000.0	19.7210732584	0.01	0.000512193731479988	19.523862525816	-65.6909441013672
30	1500.0	21.153591951099997	0.015	0.0007198978987181985	20.836288071833497	-64.25873751946554
31	2000.0	21.926890776900002	0.02	0.0009307367593952783	21.488352961362	-62.04513389969307
32	2500.0	22.6276962244	0.025	0.0011331699606863333	22.06200381879	-60.3759637205906
33	3000.0	24.158482007800004	0.03	0.0012802060593691599	23.433727547566004	-61.27452154609627
34	3500.0	26.019557786500002	0.035	0.0013939295336768377	25.1088732639725	-63.09369340270462
35	4000.0	26.5940028567	0.04	0.001566769278441636	25.530242742432	-61.91804094175557
36	4500.0	26.9118898624	0.045	0.0017509145247358465	25.700854818592	-60.365420565257594
37	5000.0	27.2744241619	0.05	0.001929704496599058	25.910702953805	-59.100051750804525
38	5500.0	27.572504048699997	0.055	0.0021108368720614006	26.056016326021496	-57.84511470839717
39	6000.0	27.9090508917	0.06	0.00228706405967482	26.234507838198	-56.79465657747687
40	6500.0	28.3131089816	0.065	0.002455354395122013	26.472756897796	-55.977685861737854
41	7000.0	28.6812850965	0.07	0.0026243181555866265	26.673595139745	-55.168183753087916
42	7500.0	29.115509050100002	0.075	0.002784807263426589	26.931845871342503	-54.55043534082491
43	8000.0	29.6332525601	0.08	0.0029344238052428284	27.262592355292004	-54.13713701772356
44	8500.0	30.221828492100002	0.085	0.0030738105368995484	27.652973070271504	-53.88715554507359
45	9000.0	32.9714005125	0.09	0.002999602606010135	30.003974466375	-57.42663123317849
46	10000.0	34.1678338885	0.1	0.0032519214262660126	30.75105049965	-56.90656985613657
47	70000.0	35.849095346999995	0.7	0.06508764895593372	10.7547286041	-9.248686853639454
48	80000.0	35.9970325373	0.8	0.11112027070162561	7.199406507459998	-5.810055941382092
49	90000.0	35.9677402656	0.9	0.25022422686386325	3.596774026559999	-2.741071181546498
50	100000.0	36.0429742284	1.0	inf	0.0	0.0
